network_id,network_name,station_number,station_name,lat,lon,epic_dist_km,fault_dist_km,pga_g,pgv_cms,pgd_cm,sa_0p3_g,sa_1p0_g,sa_3p0_g,struct_apk_g,label_damage_state
NP,IGPP,12039,Mahabalipuram Shore Temple Heritage Site,19.37728,-107.8988,38.9,,0.015,1.55,0.3,0.101,0.008,0.001,,None
AZ,CGS,12040,Hampi Virupaksha Temple Heritage Site,39.39227,-64.8643,16,,0.04,1.42,0.1,0.102,0.027,0.003,,None
CE,IGPP,12041,Angkor Wat Cambodia Heritage Site,24.40653,-3.02157,10.1,,0.029,0.96,0.4,0.087,0.003,0.001,,None
AZ,IGPP,12042,Prambanan Indonesia Heritage Site,18.28727,47.49767,23.7,,0.011,1.22,0.3,0.098,0.027,0.002,,None
CI,SCSN,12043,Tikal Guatemala Heritage Site,26.94014,86.46262,55.9,,0.028,1.48,0.2,0.033,0.029,0.002,,None
NP,IGPP,12044,Acropolis Athens Heritage Site,23.39518,9.99296,52.8,,0.036,1.56,0.1,0.091,0.002,0.003,,None
NP,NSMP,12045,Chichen Itza Mexico Heritage Site,24.87751,-79.96478,40.1,,0.045,1.96,0.4,0.143,0.001,0,,None
CE,CGS,12046,Golden Temple Amritsar Heritage Site,19.92524,-47.32569,9.8,,0.037,1.43,0.3,0.113,0.015,0.001,,None
NP,NSMP,12047,Alhambra Spain Heritage Site,35.04527,-42.95181,10.2,,0.04,1.66,0.3,0.07,0.001,0.003,,None
AZ,CGS,12048,Pyramids of Giza Egypt Heritage Site,23.58888,44.2785,45.7,,0.029,1.57,0.2,0.14,0.02,0.003,,None
NP,NSMP,12049,Meenakshi Temple Heritage Site,13.7532,46.84077,49.8,,0.021,1.34,0.3,0.121,0.018,0.001,,None
AZ,IGPP,12050,Meenakshi Temple Heritage Site,15.68637,-24.69851,56.8,,0.031,0.56,0.3,0.061,0.018,0.002,,None
NP,NSMP,12051,Konark Sun Temple Heritage Site,19.92039,-29.24209,8.8,,0.087,4.23,0.6,0.202,0.01,0.004,,Slight
NP,NSMP,12052,Hagia Sophia Turkey Heritage Site,37.13122,5.07907,38.5,,0.149,3.83,0.5,0.226,0.011,0.002,,Slight
CI,SCSN,12053,Konark Sun Temple Heritage Site,28.1659,-33.32547,52,,0.116,4.34,0.4,0.224,0.048,0.005,,Slight
CI,NSMP,12054,Tikal Guatemala Heritage Site,21.55992,-47.33709,39,,0.085,4.52,0.3,0.239,0.022,0.006,,Slight
CE,SCSN,12055,Alhambra Spain Heritage Site,31.6732,-70.58388,38.7,,0.052,3.03,0.6,0.234,0.025,0.003,,Slight
CI,SCSN,12056,Nalanda University Heritage Site,23.38242,-67.95401,26.9,,0.102,3.03,0.5,0.219,0.046,0.003,,Slight
CE,NSMP,12057,Bagan Myanmar Heritage Site,37.01528,13.46592,29.7,,0.127,2.26,0.4,0.145,0.038,0.006,,Slight
NP,IGPP,12058,Versailles Palace France Heritage Site,10.77408,-107.28834,55,,0.111,3.4,0.6,0.143,0.028,0.006,,Slight
NP,SCSN,12059,Notre Dame Cathedral Paris Heritage Site,38.4212,-24.70466,42.9,,0.129,3.88,0.3,0.082,0.032,0.004,,Slight
NP,NSMP,12060,Acropolis Athens Heritage Site,15.87033,15.67806,27.5,,0.058,2.67,0.5,0.089,0.036,0.005,,Slight
NP,IGPP,12061,Sun Temple Modhera Heritage Site,33.999,36.39275,32.5,,0.097,3.77,0.4,0.233,0.013,0.003,,Slight
AZ,SCSN,12062,Somnath Temple Heritage Site,36.31766,24.95255,48.1,,0.063,3.89,0.5,0.193,0.034,0.004,,Slight
CI,NSMP,12063,Pyramids of Giza Egypt Heritage Site,33.94198,-113.96619,47.7,,0.11,2.33,0.2,0.167,0.045,0.005,,Slight
NP,NSMP,12064,St. Basil's Cathedral Moscow Heritage Site,30.61601,-7.95672,47.6,,0.136,2.01,0.6,0.127,0.047,0.003,,Slight
CI,CGS,12065,Karnak Temple Egypt Heritage Site,35.31627,-77.66835,23.6,,0.108,2.26,0.5,0.131,0.044,0.004,,Slight
CE,IGPP,12066,Taj Mahal Heritage Site,33.9339,-13.71864,8.5,,0.114,4.47,0.6,0.098,0.04,0.004,,Slight
CI,NSMP,12067,Prambanan Indonesia Heritage Site,29.29566,0.69574,29,,0.06,4.97,0.5,0.09,0.043,0.006,,Slight
AZ,SCSN,12068,Prambanan Indonesia Heritage Site,37.3573,-24.36002,26.8,,0.108,2.64,0.6,0.1,0.047,0.003,,Slight
CE,NSMP,12069,Golden Temple Amritsar Heritage Site,11.60949,-62.35974,28.5,,0.118,2.16,0.4,0.208,0.019,0.002,,Slight
CI,SCSN,12070,Kyoto Temples Japan Heritage Site,23.29266,-105.29613,46.1,,0.06,4.6,0.5,0.142,0.02,0.003,,Slight
CI,NSMP,12071,Versailles Palace France Heritage Site,14.64026,94.05962,22.7,,0.083,4.41,0.6,0.084,0.05,0.004,,Slight
CE,SCSN,12072,Sigiriya Sri Lanka Heritage Site,24.99431,-93.03646,21.3,,0.118,4.37,0.6,0.185,0.044,0.006,,Slight
CI,SCSN,12073,Pyramids of Giza Egypt Heritage Site,22.21043,65.46796,21.1,,0.073,3.49,0.3,0.114,0.024,0.002,,Slight
CE,IGPP,12074,Neuschwanstein Castle Germany Heritage Site,20.83582,-54.68469,27.2,,0.12,3.96,0.2,0.091,0.028,0.001,,Slight
AZ,SCSN,12075,Alhambra Spain Heritage Site,16.82217,89.02746,35.7,,0.082,4.09,0.4,0.242,0.041,0.005,,Slight
CE,IGPP,12076,Brihadeeswarar Temple Heritage Site,28.08407,91.79651,37.6,,0.099,3.25,0.4,0.24,0.045,0.003,,Slight
CE,CGS,12077,Kyoto Temples Japan Heritage Site,39.94442,88.07934,51.6,,0.05,3.59,0.4,0.151,0.021,0.003,,Slight
AZ,SCSN,12078,Karnak Temple Egypt Heritage Site,35.43384,72.97309,39.5,,0.118,4.7,0.2,0.136,0.011,0.005,,Slight
CI,NSMP,12079,Ajanta Caves Heritage Site,17.18203,-104.48293,17.2,,0.128,4.14,0.4,0.093,0.018,0.004,,Slight
AZ,IGPP,12080,Sun Temple Modhera Heritage Site,23.38035,-57.3319,8,,0.097,4.49,0.2,0.236,0.044,0.003,,Slight
AZ,NSMP,12081,Alhambra Spain Heritage Site,37.96433,86.70049,20,,0.067,2.79,0.2,0.099,0.028,0.006,,Slight
AZ,NSMP,12082,Ellora Kailasa Temple Heritage Site,15.92277,-13.35544,47.4,,0.058,4.36,0.5,0.143,0.014,0.001,,Slight
CI,IGPP,12083,Alhambra Spain Heritage Site,30.05758,-61.00673,41.1,,0.134,4.6,0.4,0.179,0.034,0.005,,Slight
CE,IGPP,12084,Sanchi Stupa Heritage Site,19.6418,-26.40323,5.3,,0.136,4.55,0.5,0.133,0.019,0.002,,Slight
NP,SCSN,12085,Teotihuacan Mexico Heritage Site,37.98052,65.41821,5.4,,0.105,2.2,0.3,0.093,0.013,0.004,,Slight
AZ,CGS,12086,Meenakshi Temple Heritage Site,35.96306,-98.02709,13.1,,0.079,4.2,0.2,0.216,0.026,0.004,,Slight
AZ,CGS,12087,Prambanan Indonesia Heritage Site,13.86085,-46.91494,20.9,,0.103,3.63,0.3,0.123,0.025,0.004,,Slight
CE,NSMP,12088,Sigiriya Sri Lanka Heritage Site,21.71002,10.75664,43.5,,0.071,3.93,0.3,0.175,0.032,0.002,,Slight
CI,CGS,12089,Sanchi Stupa Heritage Site,10.48221,-50.24613,10.5,,0.053,4.7,0.3,0.172,0.014,0.004,,Slight
NP,NSMP,12090,Mount Kailash Heritage Site,33.35011,-101.16509,44.3,,0.132,3.52,0.4,0.081,0.037,0.003,,Slight
AZ,IGPP,12091,Jaisalmer Fort Heritage Site,28.42818,80.6385,44.9,,0.085,2.06,0.4,0.171,0.022,0.001,,Slight
NP,CGS,12092,Luxor Temple Egypt Heritage Site,24.92152,-68.10515,17.3,,0.102,2.17,0.4,0.204,0.02,0.004,,Slight
CI,SCSN,12093,Notre Dame Cathedral Paris Heritage Site,19.54979,-25.2862,12,,0.075,4.74,0.4,0.153,0.036,0.004,,Slight
NP,CGS,12094,Colosseum Rome Heritage Site,16.73985,-95.66411,24,,0.069,4.91,0.5,0.239,0.012,0.006,,Slight
NP,SCSN,12095,Konark Sun Temple Heritage Site,14.01705,74.48218,48.5,,0.087,3.55,0.5,0.093,0.028,0.004,,Slight
CI,CGS,12096,Machu Picchu Peru Heritage Site,11.72994,-88.50385,44.4,,0.148,3.69,0.4,0.128,0.032,0.002,,Slight
CI,SCSN,12097,Mount Kailash Heritage Site,38.12878,73.00977,30,,0.081,2.62,0.3,0.19,0.015,0.005,,Slight
CE,CGS,12098,Konark Sun Temple Heritage Site,15.04547,-22.22708,45.9,,0.073,4.36,0.2,0.232,0.026,0.003,,Slight
CI,CGS,12099,Teotihuacan Mexico Heritage Site,22.41027,-73.54691,8.3,,0.123,4.05,0.4,0.142,0.022,0.003,,Slight
AZ,SCSN,12100,Tikal Guatemala Heritage Site,26.60846,35.19101,26.6,,0.074,4.02,0.4,0.099,0.037,0.002,,Slight
CE,NSMP,12101,Mahabalipuram Shore Temple Heritage Site,18.10885,-56.52058,26.4,,0.17,6.57,0.5,0.268,0.033,0.003,,Moderate
NP,CGS,12102,Acropolis Athens Heritage Site,13.9008,1.85001,40.4,,0.211,9.85,0.5,0.351,0.062,0.006,,Moderate
CE,IGPP,12103,Sun Temple Modhera Heritage Site,15.31316,18.61853,16.6,,0.216,5.36,0.5,0.229,0.039,0.006,,Moderate
CI,IGPP,12104,Meenakshi Temple Heritage Site,28.96127,-55.62266,15.2,,0.198,9.09,0.7,0.298,0.052,0.002,,Moderate
AZ,SCSN,12105,Kyoto Temples Japan Heritage Site,29.26935,64.01581,12.7,,0.183,7.61,0.6,0.279,0.048,0.007,,Moderate
AZ,NSMP,12106,Golden Temple Amritsar Heritage Site,11.92158,75.71609,36.7,,0.152,6.17,0.6,0.315,0.04,0.007,,Moderate
NP,NSMP,12107,Taj Mahal Heritage Site,37.74432,24.72908,24.6,,0.16,7.38,0.6,0.257,0.058,0.005,,Moderate
CE,IGPP,12108,Mahabalipuram Shore Temple Heritage Site,30.4628,52.03833,11.7,,0.158,7.03,0.4,0.386,0.066,0.003,,Moderate
AZ,NSMP,12109,Golconda Fort Heritage Site,14.09245,-4.65916,58.5,,0.245,6.47,0.7,0.206,0.046,0.003,,Moderate
CE,SCSN,12110,Konark Sun Temple Heritage Site,26.0728,-1.9281,56.7,,0.211,5.04,0.7,0.273,0.068,0.002,,Moderate
CE,IGPP,12111,Prambanan Indonesia Heritage Site,39.06628,-24.33223,49.1,,0.211,5.51,0.4,0.161,0.06,0.005,,Moderate
CI,CGS,12112,Hagia Sophia Turkey Heritage Site,21.25842,-99.03243,27,,0.175,6.61,0.5,0.28,0.035,0.005,,Moderate
AZ,CGS,12113,Golden Temple Amritsar Heritage Site,39.99898,-70.31274,38.2,,0.241,5.21,0.4,0.162,0.032,0.004,,Moderate
NP,NSMP,12114,Fatehpur Sikri Heritage Site,31.37181,51.01204,12.7,,0.191,8.52,0.5,0.174,0.021,0.005,,Moderate
CE,SCSN,12115,Great Wall China Heritage Site,26.66545,-55.85705,10.6,,0.195,6.42,0.6,0.289,0.036,0.003,,Moderate
CE,SCSN,12116,Great Wall China Heritage Site,17.77565,-109.31354,58.7,,0.207,6.55,0.4,0.381,0.058,0.007,,Moderate
CI,SCSN,12117,Ellora Kailasa Temple Heritage Site,32.36338,76.18471,42.7,,0.236,6.68,0.8,0.386,0.067,0.007,,Moderate
CI,IGPP,12118,Pyramids of Giza Egypt Heritage Site,29.59763,72.10846,48.3,,0.243,7.8,0.6,0.17,0.052,0.007,,Moderate
CI,NSMP,12119,Golconda Fort Heritage Site,38.65758,-113.98024,44.2,,0.173,9.15,0.7,0.246,0.051,0.007,,Moderate
CE,IGPP,12120,Bagan Myanmar Heritage Site,25.31287,-3.92123,10.4,,0.172,6.61,0.6,0.373,0.062,0.002,,Moderate
NP,SCSN,12121,Angkor Wat Cambodia Heritage Site,19.13134,-72.53885,14.9,,0.202,9.92,0.6,0.363,0.036,0.005,,Moderate
CE,CGS,12122,Mahabalipuram Shore Temple Heritage Site,10.81081,-106.81982,22.4,,0.182,7.95,0.6,0.342,0.059,0.004,,Moderate
NP,IGPP,12123,Ellora Kailasa Temple Heritage Site,34.58351,-35.40301,43.2,,0.227,6.36,0.4,0.388,0.029,0.007,,Moderate
CI,SCSN,12124,Hagia Sophia Turkey Heritage Site,33.46721,-65.65845,43.8,,0.196,6.75,0.8,0.354,0.069,0.005,,Moderate
NP,CGS,12125,Neuschwanstein Castle Germany Heritage Site,30.98679,-86.68178,57.4,,0.179,5.06,0.7,0.385,0.029,0.006,,Moderate
NP,NSMP,12126,Nalanda University Heritage Site,11.45013,-41.76906,41.5,,0.199,9.93,0.4,0.353,0.069,0.004,,Moderate
AZ,CGS,12127,Red Fort Delhi Heritage Site,23.95349,99.29005,32.3,,0.165,7.56,0.8,0.209,0.032,0.007,,Moderate
CI,NSMP,12128,Somnath Temple Heritage Site,37.45359,6.3876,31.2,,0.178,6.33,0.5,0.235,0.05,0.007,,Moderate
AZ,SCSN,12129,Taj Mahal Heritage Site,18.79431,-103.30603,55,,0.249,6.59,0.3,0.222,0.059,0.003,,Moderate
AZ,NSMP,12130,Machu Picchu Peru Heritage Site,26.25992,-109.581,57.2,,0.151,8.21,0.4,0.394,0.066,0.003,,Moderate
AZ,SCSN,12131,Sigiriya Sri Lanka Heritage Site,27.90983,35.05506,18.7,,0.233,6.68,0.4,0.395,0.045,0.002,,Moderate
AZ,NSMP,12132,Alhambra Spain Heritage Site,35.64903,-73.9986,11.9,,0.237,9.9,0.4,0.245,0.049,0.003,,Moderate
NP,IGPP,12133,Somnath Temple Heritage Site,13.80414,-91.97335,10,,0.165,9.21,0.7,0.231,0.041,0.003,,Moderate
CE,SCSN,12134,Red Fort Delhi Heritage Site,13.32025,56.45445,40.6,,0.166,5.42,0.6,0.229,0.025,0.005,,Moderate
CE,SCSN,12135,Karnak Temple Egypt Heritage Site,37.87388,-70.73133,46.6,,0.238,8.43,0.6,0.234,0.044,0.004,,Moderate
CI,IGPP,12136,Versailles Palace France Heritage Site,22.86016,-16.391,29.1,,0.244,5.1,0.5,0.158,0.055,0.002,,Moderate
CE,IGPP,12137,Kyoto Temples Japan Heritage Site,24.01906,-41.87304,22.5,,0.245,9.43,0.8,0.3,0.042,0.004,,Moderate
AZ,SCSN,12138,Alhambra Spain Heritage Site,26.9214,5.67169,50.7,,0.246,5.77,0.4,0.363,0.035,0.003,,Moderate
NP,NSMP,12139,Khajuraho Temples Heritage Site,31.99759,0.99161,45.1,,0.238,6.99,0.4,0.358,0.037,0.003,,Moderate
CE,IGPP,12140,Bagan Myanmar Heritage Site,33.93838,52.34277,14.1,,0.189,5.26,0.8,0.32,0.029,0.006,,Moderate
NP,NSMP,12141,Prambanan Indonesia Heritage Site,15.67362,-78.66175,16.3,,0.171,8.83,0.5,0.338,0.047,0.005,,Moderate
NP,IGPP,12142,Mount Kailash Heritage Site,14.96296,38.02604,22.2,,0.182,9.81,0.6,0.182,0.065,0.008,,Moderate
AZ,CGS,12143,Qutub Minar Heritage Site,12.55859,16.36725,21.9,,0.168,9.85,0.3,0.233,0.046,0.007,,Moderate
AZ,SCSN,12144,Hagia Sophia Turkey Heritage Site,12.7174,1.7687,9,,0.245,5.28,0.5,0.288,0.043,0.007,,Moderate
AZ,IGPP,12145,Bagan Myanmar Heritage Site,23.81012,-67.44653,41.9,,0.177,9,0.4,0.373,0.022,0.005,,Moderate
CI,CGS,12146,Leaning Tower of Pisa Heritage Site,15.95982,-118.55012,47.4,,0.172,8.4,0.3,0.294,0.06,0.006,,Moderate
AZ,CGS,12147,Colosseum Rome Heritage Site,24.48881,41.78338,32.4,,0.188,5.23,0.6,0.277,0.052,0.004,,Moderate
AZ,IGPP,12148,Leaning Tower of Pisa Heritage Site,17.44229,-100.07123,48.8,,0.193,9.48,0.7,0.19,0.069,0.005,,Moderate
NP,SCSN,12149,St. Basil's Cathedral Moscow Heritage Site,33.93312,-21.66451,10.5,,0.16,5.69,0.7,0.331,0.062,0.005,,Moderate
AZ,CGS,12150,Ajanta Caves Heritage Site,10.72616,5.74206,45.6,,0.207,8.96,0.4,0.22,0.044,0.008,,Moderate
AZ,SCSN,12151,Golconda Fort Heritage Site,21.80514,-101.12487,39.7,,0.379,12.46,1.2,0.253,0.071,0.005,,High
NP,IGPP,12152,Mount Kailash Heritage Site,33.22704,25.35346,26.9,,0.352,16.9,1,0.41,0.059,0.008,,High
CI,SCSN,12153,Fatehpur Sikri Heritage Site,11.57309,-12.67135,31.7,,0.252,10.38,1.2,0.374,0.041,0.006,,High
CI,NSMP,12154,Sun Temple Modhera Heritage Site,33.02504,39.58928,23.5,,0.27,17.74,1.1,0.424,0.063,0.007,,High
NP,NSMP,12155,Taj Mahal Heritage Site,23.31848,47.84645,48.2,,0.256,10.42,1.4,0.57,0.049,0.008,,High
CI,SCSN,12156,Eiffel Tower Paris Heritage Site,29.96927,-3.84579,17.3,,0.392,17.44,0.8,0.457,0.067,0.007,,High
CE,SCSN,12157,Fatehpur Sikri Heritage Site,16.36195,-30.13147,17.3,,0.348,16.65,1.5,0.434,0.055,0.009,,High
CE,CGS,12158,Mount Kailash Heritage Site,37.52095,7.85863,52.7,,0.42,18.38,0.8,0.288,0.078,0.005,,High
AZ,SCSN,12159,Acropolis Athens Heritage Site,32.91835,-68.46057,35.2,,0.35,14.65,1.2,0.3,0.043,0.009,,High
CE,NSMP,12160,Somnath Temple Heritage Site,17.78584,-8.76302,56.2,,0.391,16.25,0.5,0.5,0.059,0.006,,High
NP,SCSN,12161,Nalanda University Heritage Site,21.47281,-58.69153,36.9,,0.269,17.23,0.7,0.387,0.047,0.007,,High
NP,SCSN,12162,Charminar Heritage Site,27.87768,-8.83719,13.9,,0.442,12.49,0.7,0.566,0.061,0.003,,High
AZ,SCSN,12163,Kyoto Temples Japan Heritage Site,26.63696,-76.83176,12.4,,0.405,18.57,1.3,0.366,0.079,0.006,,High
NP,NSMP,12164,St. Basil's Cathedral Moscow Heritage Site,26.42162,-15.38555,13,,0.366,14.04,1.2,0.562,0.063,0.007,,High
AZ,NSMP,12165,Red Fort Delhi Heritage Site,11.74915,-50.92614,57.7,,0.33,15.37,0.7,0.293,0.043,0.01,,High
CI,SCSN,12166,Jaisalmer Fort Heritage Site,23.44046,-12.33721,42.7,,0.325,13.14,1,0.281,0.043,0.007,,High
CE,IGPP,12167,Sun Temple Modhera Heritage Site,16.23192,-49.80416,45.8,,0.285,10.35,0.8,0.277,0.043,0.005,,High
NP,IGPP,12168,Pyramids of Giza Egypt Heritage Site,17.90589,61.32505,22.8,,0.297,11.66,1.5,0.383,0.076,0.007,,High
CI,NSMP,12169,Angkor Wat Cambodia Heritage Site,11.29641,-78.67631,10.9,,0.45,11.71,0.8,0.273,0.049,0.006,,High
NP,SCSN,12170,Colosseum Rome Heritage Site,34.48322,-87.96574,49.8,,0.349,15.76,1.4,0.275,0.051,0.008,,High
AZ,SCSN,12171,Mount Fuji Japan Heritage Site,33.19119,-6.78344,44.2,,0.386,16.06,0.6,0.451,0.062,0.01,,High
AZ,NSMP,12172,Mount Kailash Heritage Site,16.68782,9.21601,18.1,,0.303,16.67,0.8,0.34,0.071,0.007,,High
CE,SCSN,12173,Acropolis Athens Heritage Site,31.33804,-18.14806,38.4,,0.385,16.81,1.5,0.308,0.073,0.008,,High
NP,SCSN,12174,Chichen Itza Mexico Heritage Site,25.14756,-78.12194,27,,0.438,12.87,0.6,0.361,0.044,0.006,,High
CI,CGS,12175,Hagia Sophia Turkey Heritage Site,17.78352,-38.45389,40.8,,0.319,13.02,1.4,0.369,0.065,0.005,,High
CE,IGPP,12176,Brihadeeswarar Temple Heritage Site,36.60752,28.93588,24,,0.375,17.76,1,0.42,0.076,0.009,,High
NP,SCSN,12177,Neuschwanstein Castle Germany Heritage Site,18.30949,45.38343,57.6,,0.271,18.17,0.8,0.357,0.076,0.009,,High
CE,NSMP,12178,Sanchi Stupa Heritage Site,38.19332,49.80543,35.6,,0.406,16.3,1.1,0.542,0.068,0.009,,High
NP,IGPP,12179,Notre Dame Cathedral Paris Heritage Site,27.51382,91.24709,5.5,,0.389,13.41,0.5,0.345,0.071,0.005,,High
AZ,SCSN,12180,Hagia Sophia Turkey Heritage Site,34.16136,61.58406,34.1,,0.398,11.87,1.4,0.294,0.053,0.004,,High
CI,CGS,12181,Somnath Temple Heritage Site,16.46356,77.23229,30.3,,0.302,13.68,1.1,0.416,0.04,0.006,,High
NP,CGS,12182,Mahabalipuram Shore Temple Heritage Site,17.4819,86.03014,6.6,,0.412,13.57,1.1,0.513,0.047,0.009,,High
AZ,NSMP,12183,Great Wall China Heritage Site,37.45637,13.06587,26.3,,0.446,17.71,1.1,0.422,0.061,0.007,,High
NP,SCSN,12184,Ajanta Caves Heritage Site,23.15917,3.75361,17,,0.374,17.25,0.8,0.582,0.052,0.008,,High
AZ,SCSN,12185,Meenakshi Temple Heritage Site,13.43072,97.02962,53.8,,0.361,10.1,0.7,0.263,0.064,0.007,,High
CI,SCSN,12186,Red Fort Delhi Heritage Site,12.86162,-59.66193,5.4,,0.441,13.61,0.6,0.564,0.058,0.004,,High
CI,NSMP,12187,Hampi Virupaksha Temple Heritage Site,30.17774,-113.52749,55.7,,0.332,13.94,0.8,0.506,0.067,0.01,,High
CI,IGPP,12188,Great Wall China Heritage Site,32.59698,47.71047,57,,0.4,13.37,1.4,0.327,0.08,0.01,,High
CE,IGPP,12189,Konark Sun Temple Heritage Site,24.11411,46.07073,8.1,,0.306,16.93,1.4,0.412,0.069,0.004,,High
CI,IGPP,12190,Ellora Kailasa Temple Heritage Site,14.10766,-4.3801,5.1,,0.438,16.87,0.5,0.332,0.062,0.008,,High
CI,CGS,12191,Machu Picchu Peru Heritage Site,15.04852,-74.93268,7,,0.45,14.97,1.3,0.535,0.042,0.003,,High
AZ,IGPP,12192,Versailles Palace France Heritage Site,13.66743,-2.33639,37.4,,0.424,10.25,1,0.336,0.068,0.007,,High
CI,SCSN,12193,Konark Sun Temple Heritage Site,14.71272,-93.96768,18.6,,0.254,11.25,1.4,0.429,0.049,0.009,,High
NP,CGS,12194,Jaisalmer Fort Heritage Site,30.44147,18.3657,37.8,,0.388,18.94,0.5,0.343,0.053,0.005,,High
CI,CGS,12195,Teotihuacan Mexico Heritage Site,26.91822,-0.13645,14,,0.342,15.01,1.3,0.55,0.062,0.007,,High
CI,IGPP,12196,Mahabalipuram Shore Temple Heritage Site,13.09985,-89.16603,13.8,,0.347,11.07,0.8,0.348,0.075,0.009,,High
AZ,IGPP,12197,Borobudur Indonesia Heritage Site,39.53896,7.03288,6.3,,0.327,17.38,1.3,0.558,0.065,0.004,,High
NP,IGPP,12198,Sigiriya Sri Lanka Heritage Site,11.62401,-92.42886,59.9,,0.273,16.76,1.3,0.575,0.05,0.007,,High
NP,NSMP,12199,Jaisalmer Fort Heritage Site,30.83518,33.42023,34.1,,0.294,10.66,1.3,0.533,0.046,0.007,,High
CI,NSMP,12200,Sanchi Stupa Heritage Site,19.50552,78.13835,37.9,,0.41,12.23,1.2,0.51,0.043,0.007,,High
NP,SCSN,13001,Great Zimbabwe Ruins Heritage Site,13.31519,-83.34192,42.2,,0.017,1.35,0.3,0.105,0.028,0.002,,None
NP,SCSN,13002,Luxor Temple Egypt Heritage Site,34.12893,82.35022,39.5,,0.022,1.23,0.2,0.139,0,0.002,,None
CI,IGPP,13003,Fatehpur Sikri Heritage Site,37.84077,-10.72199,5.2,,0.029,1.22,0.3,0.103,0.012,0.001,,None
CI,NSMP,13004,Kyoto Temples Japan Heritage Site,36.98103,-113.87098,57.8,,0.048,0.56,0.4,0.114,0.006,0.003,,None
CE,CGS,13005,Sanchi Stupa Heritage Site,33.58339,-36.8491,39.6,,0.042,1.32,0.1,0.018,0.017,0.002,,None
NP,SCSN,13006,Luxor Temple Egypt Heritage Site,38.74363,45.4986,43.4,,0.032,1.45,0.2,0.016,0.001,0,,None
CE,CGS,13007,Angkor Wat Cambodia Heritage Site,17.89364,11.47789,54.7,,0.021,1.87,0.4,0.125,0.016,0.003,,None
AZ,NSMP,13008,Mahabalipuram Shore Temple Heritage Site,10.80235,66.22409,14.5,,0.031,0.52,0.3,0.129,0.001,0,,None
CI,IGPP,13009,Sun Temple Modhera Heritage Site,14.59771,-80.8363,43.2,,0.022,0.89,0.3,0.027,0.006,0.001,,None
CI,CGS,13010,Petra Jordan Heritage Site,13.64575,-46.40053,40.9,,0.049,1.06,0.2,0.1,0.02,0.001,,None
CI,SCSN,13011,Colosseum Rome Heritage Site,27.16163,-42.20956,41.5,,0.026,0.58,0.1,0.074,0.011,0.002,,None
CE,CGS,13012,Sun Temple Modhera Heritage Site,21.09287,52.2632,28.5,,0.043,1.21,0.1,0.091,0.016,0.002,,None
AZ,NSMP,13013,Qutub Minar Heritage Site,21.23116,-94.7581,14.4,,0.01,0.5,0.3,0.081,0.023,0.003,,None
NP,IGPP,13014,Petra Jordan Heritage Site,38.97306,-0.41149,41.1,,0.015,1.93,0.1,0.062,0.006,0.001,,None
CI,CGS,13015,Jaisalmer Fort Heritage Site,33.54456,24.24383,58.4,,0.016,2,0.2,0.083,0.002,0,,None
AZ,SCSN,13016,Karnak Temple Egypt Heritage Site,23.67517,-35.90343,12.4,,0.028,1.09,0.2,0.049,0.011,0.001,,None
CI,CGS,13017,Mahabalipuram Shore Temple Heritage Site,15.71498,-26.25407,53.4,,0.028,1.06,0.3,0.056,0.009,0.001,,None
CI,SCSN,13018,Great Zimbabwe Ruins Heritage Site,16.05331,98.57534,6.1,,0.028,1.49,0.2,0.036,0.027,0.004,,None
CI,SCSN,13019,Hagia Sophia Turkey Heritage Site,16.50408,-56.52823,39.4,,0.032,1.68,0.4,0.032,0.003,0.002,,None
CI,NSMP,13020,Jaisalmer Fort Heritage Site,29.25071,-80.42306,19.7,,0.037,1.95,0.3,0.079,0.027,0.004,,None
AZ,CGS,13021,Mount Fuji Japan Heritage Site,15.05475,41.75309,13,,0.047,1.51,0.3,0.075,0.019,0.001,,None
NP,NSMP,13022,Leaning Tower of Pisa Heritage Site,37.3525,-98.16072,29,,0.02,1.63,0.2,0.027,0.019,0,,None
CE,CGS,13023,St. Basil's Cathedral Moscow Heritage Site,19.00968,-64.81328,30.3,,0.046,1.33,0.1,0.134,0.029,0.001,,None
CI,NSMP,13024,Alhambra Spain Heritage Site,10.52855,57.75779,21.3,,0.034,1.73,0.2,0.121,0.009,0.002,,None
CI,CGS,13025,Taj Mahal Heritage Site,33.21138,37.56435,10,,0.037,0.69,0.3,0.033,0.001,0.003,,None
CI,NSMP,13026,Sun Temple Modhera Heritage Site,26.52867,-74.80868,22.1,,0.032,1.75,0.2,0.132,0.029,0.002,,None
NP,IGPP,13027,Fatehpur Sikri Heritage Site,30.86515,-115.41695,30.6,,0.045,1.62,0.3,0.044,0.023,0,,None
CI,SCSN,13028,Leaning Tower of Pisa Heritage Site,14.41234,-90.08957,14.4,,0.012,0.81,0.2,0.001,0.003,0.002,,None
CE,SCSN,13029,Qutub Minar Heritage Site,15.15986,-29.59784,53.7,,0.025,1.25,0.4,0.028,0.003,0.002,,None
CI,NSMP,13030,Great Wall China Heritage Site,14.79375,26.97003,48.5,,0.029,1.74,0.2,0.15,0.014,0.003,,None
AZ,IGPP,13031,Somnath Temple Heritage Site,20.7964,-78.02939,55.3,,0.046,1.82,0.1,0.086,0.009,0.001,,None
CI,CGS,13032,Teotihuacan Mexico Heritage Site,23.56562,68.78144,27.3,,0.016,1.22,0.1,0.032,0.018,0.003,,None
